,x,y,z,labels
513,43.042473,-0.74735767,23.62778,-1
514,-36.075397,78.734184,14.755337,9
515,-63.185703,29.654493,-1.4941726,7
516,-59.086536,-67.76152,18.773897,109
517,44.975952,52.383297,4.334957,114
518,-48.340744,6.355272,51.32041,115
519,6.708662,13.425742,-9.916474,116
520,-41.238537,-30.179409,-23.749998,101
521,12.304738,-56.74951,22.469183,27
522,66.12728,-18.464346,45.618927,61
523,-20.40761,28.208868,26.497843,8
524,-36.799732,45.774166,-15.154419,19
525,21.096579,10.094565,6.4736257,103
526,72.9907,-36.310925,-0.43252826,68
527,-22.657932,-41.614445,68.09327,53
528,14.360891,61.037544,-61.762074,52
529,14.752596,27.247257,22.104168,97
530,52.77722,-24.540243,69.1719,99
531,-26.293756,34.819843,81.031364,86
532,51.06381,51.095615,-0.8921448,114
533,78.07692,19.313145,25.959541,39
534,31.167685,-61.519444,10.233804,27
535,79.46178,22.281944,-15.213079,45
536,16.129322,-6.1645746,-15.542557,88
537,60.11903,-7.533946,-41.749176,-1
538,-3.5595624,19.36278,80.94625,-1
539,-36.67452,-77.44052,30.862545,117
540,7.9212766,-13.923898,68.07006,106
541,-20.9874,-42.6548,18.925703,-1
542,14.058673,95.21732,-1.114377,62
543,1.4143317,68.11341,7.1438036,24
544,10.811668,80.5118,32.052193,118
545,5.2771378,3.6856515,77.22168,106
546,-12.08758,-20.02028,100.61111,37
547,-54.15009,5.0096974,22.808073,33
548,-73.16718,24.158298,-43.900265,6
549,16.822313,7.587433,5.9724045,103
550,30.19636,-14.343542,57.97217,-1
551,68.03343,19.694082,-40.329464,16
552,-28.512167,-40.762356,-4.7672734,17
553,26.603437,38.31316,-83.74696,15
554,-46.602272,-7.1129556,-33.335423,-1
555,50.81882,14.531092,-55.758617,119
556,86.39304,-19.804642,19.081705,120
557,-44.167027,30.386272,-29.054981,121
558,57.599083,-21.587353,-55.861156,90
559,-86.25972,-18.152887,-3.0381465,3
560,2.9020944,-13.134048,76.329315,106
561,-73.35007,-40.464363,-31.38483,36
562,11.202928,-89.124214,-51.62344,-1
563,1.7614602,20.933092,95.66736,-1
564,-50.130093,-67.45863,-15.765042,2
565,-53.31918,-45.34113,-47.567307,26
566,71.02369,-33.35601,20.76732,81
567,-19.165377,-19.679762,92.94857,37
568,7.925826,-58.508205,-41.286316,-1
569,9.119392,25.864117,-85.93079,15
570,34.7323,40.520943,-6.7627096,13
571,-41.182087,30.638279,-33.04531,121
